INDUSTRY,QUARTER,YEAR,ACTION,VALUE_%
Paper and paper products,4,2012,UTILISATION,88.1
Paper and paper products,1,2013,UTILISATION,84.1
Paper and paper products,2,2013,UTILISATION,84.5
Paper and paper products,3,2013,UTILISATION,87.2
Paper and paper products,4,2013,UTILISATION,88.7
Paper and paper products,1,2014,UTILISATION,85.5
Paper and paper products,2,2014,UTILISATION,86.4
Paper and paper products,3,2014,UTILISATION,85.6
Paper and paper products,4,2014,UTILISATION,88.0
Paper and paper products,1,2015,UTILISATION,84.4
Paper and paper products,2,2015,UTILISATION,83.6
Paper and paper products,3,2015,UTILISATION,85.1
Paper and paper products,4,2015,UTILISATION,86.7
Paper and paper products,1,2016,UTILISATION,85.9
Paper and paper products,2,2016,UTILISATION,85.4
Paper and paper products,3,2016,UTILISATION,88.3
Paper and paper products,4,2016,UTILISATION,88.5
Paper and paper products,1,2017,UTILISATION,86.8
Paper and paper products,2,2017,UTILISATION,86.8
Paper and paper products,3,2017,UTILISATION,87.1
Paper and paper products,4,2017,UTILISATION,87.7
Paper and paper products,1,2018,UTILISATION,85.4
Paper and paper products,2,2018,UTILISATION,87.0
Paper and paper products,3,2018,UTILISATION,86.2
Paper and paper products,4,2018,UTILISATION,87.2
Paper and paper products,1,2019,UTILISATION,85.5
Paper and paper products,2,2019,UTILISATION,86.1
Paper and paper products,3,2019,UTILISATION,85.6
Paper and paper products,4,2019,UTILISATION,85.9
Paper and paper products,1,2020,UTILISATION,82.0
Paper and paper products,2,2020,UTILISATION,73.7
Paper and paper products,3,2020,UTILISATION,73.1
Paper and paper products,4,2020,UTILISATION,85.3
Paper and paper products,1,2021,UTILISATION,85.3
Paper and paper products,2,2021,UTILISATION,86.6
Paper and paper products,3,2021,UTILISATION,87.8
Paper and paper products,4,2021,UTILISATION,87.1
Printing and publishing,4,2003,UTILISATION,81.4
Printing and publishing,1,2004,UTILISATION,76.8
Printing and publishing,2,2004,UTILISATION,78.5
Printing and publishing,3,2004,UTILISATION,81.9
Printing and publishing,4,2004,UTILISATION,86.5
Printing and publishing,1,2005,UTILISATION,83.9
Printing and publishing,2,2005,UTILISATION,83.5
Printing and publishing,3,2005,UTILISATION,84.7
Printing and publishing,4,2005,UTILISATION,87.9
Printing and publishing,1,2006,UTILISATION,84.0
Printing and publishing,2,2006,UTILISATION,84.6
Printing and publishing,3,2006,UTILISATION,85.1
Printing and publishing,4,2006,UTILISATION,83.3
Printing and publishing,1,2007,UTILISATION,81.0
Printing and publishing,2,2007,UTILISATION,83.3
Printing and publishing,3,2007,UTILISATION,83.2
Printing and publishing,4,2007,UTILISATION,86.3
Printing and publishing,1,2008,UTILISATION,81.3
Printing and publishing,2,2008,UTILISATION,80.5
Printing and publishing,3,2008,UTILISATION,83.1
Printing and publishing,4,2008,UTILISATION,84.9
Printing and publishing,1,2009,UTILISATION,80.2
Printing and publishing,2,2009,UTILISATION,79.5
Printing and publishing,3,2009,UTILISATION,78.8
Printing and publishing,4,2009,UTILISATION,80.2
Printing and publishing,1,2010,UTILISATION,78.4
Printing and publishing,2,2010,UTILISATION,79.4
Printing and publishing,3,2010,UTILISATION,78.7
Printing and publishing,4,2010,UTILISATION,81.8
Printing and publishing,1,2011,UTILISATION,78.7
Printing and publishing,2,2011,UTILISATION,77.6
